query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	qlen	tlen	qtmscore	ttmscore	alntmscore	rmsd	prob	taxid	taxname	taxlineage	qcovpct	tcovpct
proteins/Montipora_capitata_KBHIv3___RNAseq.g22147.t1.faa.colabfold/plots/0.pdb	2h00_C	0.478	800	401	11	156	952	3	788	2.415E-56	3063	965	789	7.648E-01	9.278E-01	9.278E-01	3.278E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	82.5907	99.6198
proteins/Montipora_capitata_KBHIv3___RNAseq.g22922.t1.faa.colabfold/plots/0.pdb	3h5r_B	0.572	124	53	0	38	161	6	129	2.610E-15	543	161	129	7.476E-01	9.277E-01	9.277E-01	9.973E-01	1.000	562	Escherichia coli	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	77.0186	96.124
proteins/Montipora_capitata_KBHIv3___RNAseq.g23247.t1.faa.colabfold/plots/0.pdb	5fxs_A	0.572	531	216	4	8	535	5	527	9.286E-41	2212	579	540	8.607E-01	9.209E-01	9.209E-01	1.995E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	91.1917	96.8519
proteins/Montipora_capitata_KBHIv3___RNAseq.g23571.t1.faa.colabfold/plots/0.pdb	7b2t_aa	0.596	171	66	2	9	177	3	172	8.785E-20	636	221	183	5.024E-01	6.020E-01	6.020E-01	5.467E+00	1.000	6945	Ixodes scapularis	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Protostomia;-_Ecdysozoa;-_Panarthropoda;p_Arthropoda;-_Chelicerata;c_Arachnida;-_Acari;-_Parasitiformes;o_Ixodida;-_Ixodoidea;f_Ixodidae;-_Ixodinae;g_Ixodes;s_Ixodes scapularis	76.4706	92.8962
proteins/Montipora_capitata_KBHIv3___RNAseq.g24538.t1.faa.colabfold/plots/0.pdb	3jaq_I	0.572	213	91	0	176	388	3	215	7.018E-21	665	389	215	3.752E-01	6.719E-01	6.719E-01	1.410E+01	1.000	28985	Kluyveromyces lactis	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Kluyveromyces;s_Kluyveromyces lactis	54.7558	99.0698
proteins/Montipora_capitata_KBHIv3___RNAseq.g24539.t1.faa.colabfold/plots/0.pdb	1gac_A	0.616	180	69	0	1	180	1	180	3.155E-31	1116	182	180	9.701E-01	9.807E-01	9.807E-01	8.208E-01	1.000	31958	Amycolatopsis orientalis	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Actinomycetota;c_Actinomycetes;o_Pseudonocardiales;f_Pseudonocardiaceae;g_Amycolatopsis;s_Amycolatopsis orientalis	98.9011	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g25303.t1.faa.colabfold/plots/0.pdb	5isv_B	0.179	441	277	25	272	705	4	366	2.662E-16	497	711	368	4.127E-01	7.577E-01	7.577E-01	6.571E+00	1.000	83334	Escherichia coli O157:H7	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli;-_Escherichia coli O157:H7	61.0408	98.6413
proteins/Montipora_capitata_KBHIv3___RNAseq.g25313.t1.faa.colabfold/plots/0.pdb	4apz_M	0.528	346	108	4	37	379	1	294	3.623E-44	1633	389	294	7.347E-01	9.688E-01	9.688E-01	1.212E+00	1.000	1423	Bacillus subtilis	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;-_Bacillus subtilis group;s_Bacillus subtilis	88.1748	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g2535.t1.faa.colabfold/plots/0.pdb	5i1o_A	0.636	435	158	0	27	461	10	444	3.578E-36	1743	497	444	7.564E-01	8.391E-01	8.391E-01	4.207E+00	1.000	9031	Gallus gallus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;-_Sauropsida;-_Sauria;-_Archelosauria;-_Archosauria;-_Dinosauria;-_Saurischia;-_Theropoda;-_Coelurosauria;c_Aves;-_Neognathae;-_Galloanserae;o_Galliformes;f_Phasianidae;-_Phasianinae;g_Gallus;s_Gallus gallus	87.5252	97.973
proteins/Montipora_capitata_KBHIv3___RNAseq.g25526.t2.faa.colabfold/plots/0.pdb	3dl4_A	0.447	297	163	1	13	308	5	301	1.399E-33	1495	335	303	8.645E-01	9.542E-01	9.542E-01	1.186E+00	1.000	10090	Mus musculus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	88.3582	98.0198
proteins/Montipora_capitata_KBHIv3___RNAseq.g25763.t1.faa.colabfold/plots/0.pdb	8ekb_16	0.546	846	380	3	3	844	2	847	1.995E-102	4226	859	848	8.957E-01	9.069E-01	9.069E-01	4.561E+00	1.000	300852	Thermus thermophilus HB8	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB8	98.021	99.7642
proteins/Montipora_capitata_KBHIv3___RNAseq.g26043.t1.faa.colabfold/plots/0.pdb	5cd3_E	0.358	667	320	23	7	665	3	569	2.236E-60	1580	687	572	4.844E-01	5.661E-01	5.661E-01	9.896E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	95.9243	99.1259
proteins/Montipora_capitata_KBHIv3___RNAseq.g26546.t1.faa.colabfold/plots/0.pdb	3h5r_A	0.702	94	26	1	39	130	1	94	5.048E-12	452	227	94	3.966E-01	9.375E-01	9.375E-01	1.023E+00	1.000	562	Escherichia coli	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	40.5286	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g26610.t1.faa.colabfold/plots/0.pdb	1bnp_A	0.216	250	149	11	70	315	2	208	1.332E-09	255	336	296	4.931E-01	5.522E-01	5.522E-01	4.671E+00	1.000	10116	Rattus norvegicus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Rattus;s_Rattus norvegicus	73.2143	69.9324
proteins/Montipora_capitata_KBHIv3___RNAseq.g27614.t1.faa.colabfold/plots/0.pdb	5fxq_A	0.557	518	210	4	7	523	1	500	4.439E-37	2117	549	506	8.629E-01	9.338E-01	9.338E-01	2.577E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	94.1712	98.8142
proteins/Montipora_capitata_KBHIv3___RNAseq.g27661.t1.faa.colabfold/plots/0.pdb	8ekb_2c	0.456	894	442	8	3	893	2	854	0.000E+00	3656	897	855	6.578E-01	6.884E-01	6.884E-01	1.693E+01	1.000	300852	Thermus thermophilus HB8	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB8	99.3311	99.7661
proteins/Montipora_capitata_KBHIv3___RNAseq.g27676.t1.faa.colabfold/plots/0.pdb	6cm3_H	0.597	77	28	1	127	203	1	74	5.714E-07	319	464	74	1.576E-01	9.642E-01	9.642E-01	1.088E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	16.5948	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g27689.t1.faa.colabfold/plots/0.pdb	8gut_S	0.501	901	288	7	1	899	3	743	5.143E-70	2403	916	747	6.577E-01	7.967E-01	7.967E-01	1.055E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	98.1441	99.1968
proteins/Montipora_capitata_KBHIv3___RNAseq.g27721.t1.faa.colabfold/plots/0.pdb	7b2t_A	0.391	240	128	4	8	238	6	236	1.061E-24	841	242	237	8.456E-01	8.627E-01	8.627E-01	2.595E+00	1.000	6945	Ixodes scapularis	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Protostomia;-_Ecdysozoa;-_Panarthropoda;p_Arthropoda;-_Chelicerata;c_Arachnida;-_Acari;-_Parasitiformes;o_Ixodida;-_Ixodoidea;f_Ixodidae;-_Ixodinae;g_Ixodes;s_Ixodes scapularis	95.4545	97.4684
proteins/Montipora_capitata_KBHIv3___RNAseq.g27785.t1.faa.colabfold/plots/0.pdb	8ez5_U	0.884	78	9	0	51	128	2	79	1.231E-12	497	128	79	6.012E-01	9.676E-01	9.676E-01	6.096E-01	1.000	197221	Thermosynechococcus vestitus BP-1	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Pseudanabaenales;f_Thermosynechococcaceae;g_Thermosynechococcus;s_Thermosynechococcus vestitus;-_Thermosynechococcus vestitus BP-1	60.9375	98.7342
proteins/Montipora_capitata_KBHIv3___RNAseq.g27786.t1.faa.colabfold/plots/0.pdb	8ekb_2r	0.634	372	132	2	3	374	1	368	7.615E-69	2461	374	368	9.690E-01	9.846E-01	9.846E-01	9.927E-01	1.000	300852	Thermus thermophilus HB8	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB8	99.4652	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g27816.t1.faa.colabfold/plots/0.pdb	8ekb_20	0.275	493	274	12	7	497	2	413	4.884E-18	911	526	413	6.841E-01	8.565E-01	8.565E-01	4.515E+00	1.000	300852	Thermus thermophilus HB8	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB8	93.346	99.7579
proteins/Montipora_capitata_KBHIv3___RNAseq.g27924.t1.faa.colabfold/plots/0.pdb	2cqx_A	0.658	972	312	6	41	1012	1	952	0.000E+00	6023	1025	953	9.212E-01	9.905E-01	9.905E-01	1.562E+00	1.000	10090	Mus musculus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	94.8293	99.8951
proteins/Montipora_capitata_KBHIv3___RNAseq.g27981.t1.faa.colabfold/plots/0.pdb	5fgf_H	0.332	583	337	11	39	581	1	571	3.039E-20	848	1266	576	3.285E-01	6.252E-01	6.252E-01	7.058E+00	1.000	559292	Saccharomyces cerevisiae S288C	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C	42.891	99.1319
proteins/Montipora_capitata_KBHIv3___RNAseq.g2805.t1.faa.colabfold/plots/0.pdb	6bcc_A	0.697	1233	126	6	87	1319	2	986	7.286E-84	4592	1319	986	6.125E-01	7.972E-01	7.972E-01	1.328E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	93.4799	99.8986
proteins/Montipora_capitata_KBHIv3___RNAseq.g28061.t1.faa.colabfold/plots/0.pdb	7ccw_A	0.127	736	296	25	3	720	58	464	2.957E-11	311	735	509	4.316E-01	6.068E-01	6.068E-01	7.532E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	97.6871	79.9607
proteins/Montipora_capitata_KBHIv3___RNAseq.g28210.t1.faa.colabfold/plots/0.pdb	4cq1_A	0.507	274	110	5	1	273	3	252	7.583E-34	1159	279	252	8.534E-01	9.423E-01	9.423E-01	1.868E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	97.8495	99.2063
proteins/Montipora_capitata_KBHIv3___RNAseq.g28216.t1.faa.colabfold/plots/0.pdb	6eho_A	0.117	653	352	45	15	612	272	754	2.667E-06	144	1030	811	2.340E-01	2.856E-01	2.856E-01	1.596E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	58.0583	59.5561
proteins/Montipora_capitata_KBHIv3___RNAseq.g28456.t1.faa.colabfold/plots/0.pdb	4iwc_A	0.127	291	189	18	145	416	3	247	2.266E-01	41	483	248	1.262E-01	2.109E-01	2.109E-01	3.428E+01	0.233	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	56.3147	98.7903
proteins/Montipora_capitata_KBHIv3___RNAseq.g28736.t1.faa.colabfold/plots/0.pdb	1j7q_A	0.409	523	215	11	92	608	1	435	1.090E-32	1120	681	439	4.715E-01	6.727E-01	6.727E-01	6.424E+00	1.000	7740	Branchiostoma lanceolatum	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Cephalochordata;c_Leptocardii;o_Amphioxiformes;f_Branchiostomatidae;g_Branchiostoma;s_Branchiostoma lanceolatum	75.9178	99.0888
proteins/Montipora_capitata_KBHIv3___RNAseq.g2926.t1.faa.colabfold/plots/0.pdb	3cxa_C	0.326	208	122	4	13	218	13	204	4.689E-11	531	322	205	5.550E-01	8.584E-01	8.584E-01	2.384E+00	1.000	9838	Camelus dromedarius	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Laurasiatheria;o_Artiodactyla;-_Tylopoda;f_Camelidae;g_Camelus;s_Camelus dromedarius	63.9752	93.6585
proteins/Montipora_capitata_KBHIv3___RNAseq.g29536.t1.faa.colabfold/plots/0.pdb	6d3o_C	0.495	111	55	1	35	144	4	114	2.390E-13	503	174	114	6.076E-01	9.136E-01	9.136E-01	1.241E+00	1.000	32630	synthetic construct	-_other entries;-_other sequences;-_artificial sequences;s_synthetic construct	63.2184	97.3684
proteins/Montipora_capitata_KBHIv3___RNAseq.g30085.t1.faa.colabfold/plots/0.pdb	3ail_B	0.440	1417	538	30	12	1400	1	1189	8.896E-49	1457	1400	1189	4.933E-01	5.654E-01	5.654E-01	1.668E+01	1.000	111955	Sulfurisphaera tokodaii	-_cellular organisms;d_Archaea;-_TACK group;p_Thermoproteota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Sulfurisphaera;s_Sulfurisphaera tokodaii	99.2143	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g30414.t1.faa.colabfold/plots/0.pdb	3gsw_A	0.133	278	170	12	38	258	2	265	2.385E-02	100	337	479	4.366E-01	3.223E-01	3.223E-01	6.406E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	65.5786	55.1148
proteins/Montipora_capitata_KBHIv3___RNAseq.g30710.t1.faa.colabfold/plots/0.pdb	5gxd_A	0.723	170	47	0	1	170	1	170	1.816E-30	1053	180	170	9.018E-01	9.533E-01	9.533E-01	1.523E+00	1.000	398580	Dinoroseobacter shibae DFL 12 = DSM 16493	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Roseobacteraceae;g_Dinoroseobacter;s_Dinoroseobacter shibae;-_Dinoroseobacter shibae DFL 12 = DSM 16493	94.4444	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g3145.t1.faa.colabfold/plots/0.pdb	4a0w_J	0.532	280	117	3	2	280	3	269	4.407E-36	1474	281	269	9.158E-01	9.558E-01	9.558E-01	1.845E+00	1.000	9913	Bos taurus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Laurasiatheria;o_Artiodactyla;-_Ruminantia;-_Pecora;f_Bovidae;-_Bovinae;g_Bos;s_Bos taurus	99.2883	99.2565
proteins/Montipora_capitata_KBHIv3___RNAseq.g32575.t1.faa.colabfold/plots/0.pdb	6ccx_A	0.489	435	199	7	312	739	4	422	1.123E-47	1886	1115	423	3.437E-01	8.918E-01	8.918E-01	5.417E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	38.3857	99.0544
proteins/Montipora_capitata_KBHIv3___RNAseq.g32691.t1.faa.colabfold/plots/0.pdb	5jfn_C	0.091	185	98	8	27	200	2	127	3.600E-03	98	382	127	2.323E-01	5.874E-01	5.874E-01	5.891E+00	0.999	316056	Rhodopseudomonas palustris BisB18	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Hyphomicrobiales;f_Nitrobacteraceae;g_Rhodopseudomonas;s_Rhodopseudomonas palustris;-_Rhodopseudomonas palustris BisB18	45.5497	99.2126
proteins/Montipora_capitata_KBHIv3___RNAseq.g32704.t1.faa.colabfold/plots/0.pdb	6fx1_D	0.248	1092	531	22	2	1073	224	1045	9.911E-35	1646	1287	1050	5.743E-01	6.968E-01	6.968E-01	4.234E+00	1.000	75321	Pholiota squarrosa	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Agaricineae;f_Strophariaceae;g_Pholiota;s_Pholiota squarrosa	83.2945	78.2857
proteins/Montipora_capitata_KBHIv3___RNAseq.g33136.t1.faa.colabfold/plots/0.pdb	7brm_C	0.835	170	17	1	12	181	2	160	5.842E-25	589	421	160	1.973E-01	4.732E-01	4.732E-01	1.086E+01	1.000	83333	Escherichia coli K-12	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli;-_Escherichia coli K-12	40.38	99.375
proteins/Montipora_capitata_KBHIv3___RNAseq.g33360.t1.faa.colabfold/plots/0.pdb	8ekb_2V	0.503	252	107	5	2	251	3	238	1.338E-19	519	251	238	5.081E-01	5.322E-01	5.322E-01	1.275E+01	1.000	300852	Thermus thermophilus HB8	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB8	99.6016	99.1597
proteins/Montipora_capitata_KBHIv3___RNAseq.g33475.t1.faa.colabfold/plots/0.pdb	2fx3_A	0.370	756	117	6	3	758	44	440	4.387E-24	486	764	441	1.703E-01	2.772E-01	2.772E-01	5.187E+01	1.000	562	Escherichia coli	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	98.9529	90.0227
